ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,MENSAGEM,DS_RECEITA_TRATADO,EXAME_IDENTIFICADO
0,2020-02-15,1100000000,12345670000,João,"USO ORAL: 1) TORAGESIC 10 MG ------- TOMAR 1 COMPRIMIDO SUBLINGUAL A CADA 8 HORAS, POR 3 DIAS ",,uso oral 1 toragesic 10 mg tomar 1 comprimido sublingual cada 8 horas por 3 dias,Nulo
1,2020-12-31,1100000001,12345670001,Maria,RELATÓRIO MÉDICO ,,relatorio medico,Nulo
2,2020-01-02,1100000002,12345670002,José,Uso oral 1)- Ibuprofeno gotas----- Dar 17 gotas de 8/8h por 2 dias  ,,uso oral 1 ibuprofeno gotas dar 17 gotas 88h por 2 dias,Nulo
3,2020-05-17,1100000003,12345670003,Ana,USO ORAL  1) Dipirona 500mg/ml ------------------------------ Dar 17 gotas via oral de 6 em 6 horas se dor.  USO EXTERNO  1) AD MUC --------------------------------------------- Aplicar em região interna das bochechas antes das principais refeições.  ,,uso oral 1 dipirona 500mgml dar 17 gotas via oral 6 em 6 horas se dor uso externo 1 ad muc aplicar em regiao interna bochechas antes principais refeicoes,Nulo
4,2020-01-13,1100000004,12345670004,Pedro,"Uso oral e contínuo  1. Fluoxetina 20 mg  TOmar 1 cp, vi oral, 1x/dia cedo  ",,uso oral continuo 1 fluoxetina 20 mg tomar 1 cp vi oral 1xdia cedo,Nulo
5,2020-04-03,1100000005,12345670005,Mariana,Uso oral 1 - Dipirona 1 g Tomar 1 comprimido por via oral de 6/6 horas se dor ou febre ,,uso oral 1 dipirona 1 g tomar 1 comprimido por via oral 66 horas se dor ou febre,Nulo
6,2020-10-28,1100000006,12345670006,Carlos,USO ORAL 1. FLORATIL 200MG ------------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 2. ANNITA 500MG ---------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 3. PANTOPRAZOL 40MG -------01 CX TOMAR 1 CP EM JEJUM 4. BUSCOPAM ---------------01 CX TOMAR 1 CP DE 8/8 H SE DOR ABDOMINAL 5. VONAU 08MG -------------01 CX TOMAR 1 CP DE 8/8 H SE NAUSEAS OU VOMITOS 6. ENTEROGERMINA PLUS ---------------01 CX TOMAR 1 FLACONETE 1X/DIA POR 3 DIAS ,,uso oral 1 floratil 200mg 01 cx tomar 1 cp 1212 h por 3 dias 2 annita 500mg 01 cx tomar 1 cp 1212 h por 3 dias 3 pantoprazol 40mg 01 cx tomar 1 cp em jejum 4 buscopam 01 cx tomar 1 cp 88 h se dor abdominal 5 vonau 08mg 01 cx tomar 1 cp 88 h se nauseas ou vomitos 6 enterogermina plus 01 cx tomar 1 flaconete 1xdia por 3 dias,Nulo
7,2020-11-24,1100000007,12345670007,Paula,                                                     USO  INT               1- Zinnat 250mg                                          01 cx                    Tomar 01 cp VO 12/12h por 7 dias                2- Biprofenid 150mg                                     01 cx                    Tomar 01 cp VO 12/12h por 5 dias                 3- Lisador   DIP                                           01 cx                      Tomar 01 cp VO 6/6h por 3 dias ,,uso int 1 zinnat 250mg 01 cx tomar 01 cp vo 1212h por 7 dias 2 biprofenid 150mg 01 cx tomar 01 cp vo 1212h por 5 dias 3 lisador dip 01 cx tomar 01 cp vo 66h por 3 dias,Nulo
8,2020-10-18,1100000008,12345670008,Lucas,"USO ORAL - DIPIRONA 1G   TOMAR 1 COMPRIMIDO DE 6/6 HORAS, SE DOR OU FEBRE - IBUPROFENO 400MG    TOMAR 1 COMPRIMIDO DE 8/8 HORAS, POR 5 DIAS - VONAU    TOMAR 1 COMPRIMIDO SUBLINGUAL DE 8/8 HORAS, SE NAUSEA OU VOMITOS - ENTEROGERMINA PLUS   TOMAR 1 FLACONETE AO DIA POR 5 DIAS - TIORFAN 100MG     TOMAR1 COMPRIMIDO DE 8/8 HORAS, ENQUANTO PERDURAR A DIARREIA ",,uso oral dipirona 1g tomar 1 comprimido 66 horas se dor ou febre ibuprofeno 400mg tomar 1 comprimido 88 horas por 5 dias vonau tomar 1 comprimido sublingual 88 horas se nausea ou vomitos enterogermina plus tomar 1 flaconete ao dia por 5 dias tiorfan 100mg tomar1 comprimido 88 horas enquanto perdurar diarreia,Nulo
9,2020-04-16,1100000009,12345670009,Juliana, USO ORAL 1) DAFLON 1000 ------------     TOMAR 1CP AO DIA ,,uso oral 1 daflon 1000 tomar 1cp ao dia,Nulo
